Index,Name,Color,Price,Size,Requires Assembly,Country of Origin,Rating,type
0,Aristocles Innerspring Queen,Pink,$730.99 ,65,Yes,Greece,4.7,fs
1,Bournemouth,Dark Grey,$716.99 ,70,Yes,United Kingdom,4.26,fs
2,Cheshire,Dark Grey,$370.99 ,67,Yes,United Kingdom,4.85,fs
3,Derryclone,Yellow,$465.99 ,55,No,United Kingdom,3.51,fs
4,Espey,White,$720.99 ,55,No,France,4.14,fs
5,Hagen,Black,$523.99 ,75,Yes,Denmark,3.19,fs
6,Inshore,Lime,$817.99 ,66,Yes,United States,3.06,fs
7,Kasey,White,$899.99 ,70,Yes,United States,4.11,fs
8,Kittrell,Brown,$613.99 ,68,No,China,4.49,fs
9,Sonya,Red,$376.99 ,57,Yes,Russia,3.44,fs
10,Walton Lane,Grey,$679.99 ,60,Yes,United States,4.02,fs
11,Clairsville Leather Sofa,Brown,$411.99 ,60,No,United States,4.3,ls
12,Gardner Leather,Dark Brown,$722.99 ,60,Yes,China,4.88,ls
13,Hawthorne Leather,White/Grey,$793.99 ,64,Yes,China,3.11,ls
14,Molly Premium Italian,Black,$951.99 ,70,No,Italy,4.79,ls
15,Pratt Sofa,Red,$427.99 ,65,Yes,United States,4.21,ls
16,Alder,Dark Wood,$497.99 ,45,Yes,China,4.98,rec
17,Beltzhoover,Peach,$148.99 ,55,Yes,Germany,3.76,rec
18,Cudahy,Light Wood,$343.99 ,55,Yes,China,4.63,rec
19,Drummond,Black,$551.99 ,40,Yes,China,4.63,rec
20,Erik,Silver,$564.99 ,45,No,Norway,3.14,rec
21,McPherson,White,$564.99 ,65,No,Ireland,3.73,rec
22,Oslo,White,$287.99 ,55,Yes,Norway,4.62,rec
23,Scheider Stacked Shelf,Silver,$539.99 ,65,Yes,Germany,4.04,rec
24,Scheinman,White,$397.99 ,57,Yes,Germany,4.84,rec
25,Theodulus,White,$148.99 ,47,Yes,United States,4.59,rec
26,Walden Wood,Light Wood,$521.99 ,50,Yes,United States,4.79,rec
27,Alfreda,White,$408.99 ,50,Yes,Indonesia,4.3,roc
28,Citrus Park,Cork,$206.99 ,40,No,United States,3.95,roc
29,Darnell,Silver,$322.99 ,38,No,United States,3.3,roc
30,Demaree,Brown,$339.99 ,50,Yes,China,4.14,roc
31,Jett,White,$262.99 ,45,No,South Korea,3.59,roc
32,Milton,Caramel,$218.99 ,42,No,United Kingdom,4.06,roc
33,South Teton,Dark Wood,$290.99 ,40,No,United States,4.56,roc
34,Bess,Patina,$458.99 ,60,Yes,United States,3.56,tvs
35,Chaoyichi,Light Wood,$407.99 ,50,Yes,China,4.7,tvs
36,Corvus,Tan,$313.99 ,48,No,Italy,3.54,tvs
37,Encinas,Black,$384.99 ,52,Yes,Brazil,3.5,tvs
38,Gilby,Dark Wood,$395.99 ,57,Yes,United Kingdom,3.07,tvs
39,Jaohara,Patina,$139.99 ,55,No,China,4.02,tvs
40,Mestas,Dark Wood,$180.99 ,53,Yes,China,3.85,tvs
41,Monoceros,Brown,$548.99 ,55,No,Mexico,3.66,tvs
42,Netwon St Low,Brown,$198.99 ,56,No,United Kingdom,3.95,tvs
43,Orrell,Gray,$321.99 ,60,Yes,United States,4.1,tvs
44,Pinellas,Light Wood,$200.99 ,58,Yes,United States,4.42,tvs
